m_lastLapTime,m_currentLapTime,m_bestLapTime,m_sector1Time,m_sector2Time,m_lapDistance,m_totalDistance,m_safetyCarDelta,m_carPosition,m_currentLapNum,m_pitStatus,m_sector,m_currentLapInvalid,m_penalties,m_gridPosition,m_driverStatus
69.43756103515625,24.52680206298828,67.50927734375,16.962158203125,0,1524.30859375,40435.68359375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,24.623241424560547,67.50927734375,16.962158203125,0,1529.33984375,40440.71484375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,24.716796875,67.50927734375,16.962158203125,0,1534.37109375,40445.74609375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,24.83430290222168,67.50927734375,16.962158203125,0,1540.78515625,40452.16015625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,24.926984786987305,67.50927734375,16.962158203125,0,1545.97265625,40457.34765625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,25.043621063232422,67.50927734375,16.962158203125,0,1552.5,40463.875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,25.139148712158203,67.50927734375,16.962158203125,0,1558.00390625,40469.37890625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,25.255586624145508,67.50927734375,16.962158203125,0,1564.76953125,40476.14453125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,25.351076126098633,67.50927734375,16.962158203125,0,1570.421875,40481.796875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,25.466753005981445,67.50927734375,16.962158203125,0,1577.390625,40488.765625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,25.56219482421875,67.50927734375,16.962158203125,0,1583.17578125,40494.55078125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,25.675525665283203,67.50927734375,16.962158203125,0,1590.2421875,40501.6171875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,25.772125244140625,67.50927734375,16.962158203125,0,1596.31640625,40507.69140625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,25.888933181762695,67.50927734375,16.962158203125,0,1603.734375,40515.109375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,25.986385345458984,67.50927734375,16.962158203125,0,1609.9921875,40521.3671875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,26.083192825317383,67.50927734375,16.962158203125,0,1616.32421875,40527.69921875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,26.198665618896484,67.50927734375,16.962158203125,0,1623.9140625,40535.2890625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,26.29469871520996,67.50927734375,16.962158203125,0,1630.29296875,40541.66796875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,26.408842086791992,67.50927734375,16.962158203125,0,1637.9609375,40549.3359375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,26.504480361938477,67.50927734375,16.962158203125,0,1644.4765625,40555.8515625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,26.600322723388672,67.50927734375,16.962158203125,0,1651.05859375,40562.43359375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,26.716732025146484,67.50927734375,16.962158203125,0,1659.125,40570.5,0,1,10,0,1,0,0,19,1,2
69.43756103515625,26.830509185791016,67.50927734375,16.962158203125,0,1667.0859375,40578.4609375,0,1,10,0,1,0,0,19,1,2
